groupid;id;Anzahl_Vorhanden
;01a14da1afafe5332362dd3dfe555fa740800812;1.0
;01a34839f0c2ecfa07a1a27c25b6a07c5417bb60;1.0
;01a617593fd861a0ad8033e8d77732846d6d729d;1.0
;01a6585a67f9831c0cbee7354c53f87974e09389;1.0
;01ac062d9da0ab951bbafa3a11d63b48dcfa486a;1.0
;01ad31895d898a24bfaf3ad799d8d33528d7fcb6;1.0
;01b1e7c946c8190e27dc300fdc273d999ab81d48;1.0
;01b4752d60b68ed422280afb4bdea59d307a6519;15.0
;01b59bff97886cb609cc7274d06c867d278f9b7f;10.0
;01b997e360942470f985ef38b3ed2162fe379361;1.0
;01bab035d017b1d1050efbf6892ebe5aeb78bb30;14.0
;01bdde132f813e844d834a3cdf1c48cb6c602d05;1.0
;01bdea870241105c2e3492bebb0f10b39eb94ecc;1.0
;01bf03e178f5a0e68549117a2cad67281a36d0ef;9.0
;01c24646e34c10a63f07b3d8a8b19877b1065b81;1.0
;01c535fb910d4f759b5f195a84a8b35edf059565;3.0
;01c54f6cfd580054023e9d0e71bbef54ed74f9ad;1.0
;01c92856d23422948892feb90d11e635c5bc8842;1.0
;01c951eb44ce31e31390072ad799a14273590217;4.0
;01c996eecda964c70837a5295de6ed582a0792a9;1.0
;01cdc59b90b88be4a516e381245c1a18ed523a3f;1.0
;01ceebb943c71f45502906211f20690967f81d77;1.0
;01d1610009c098ad31b70d805f6650c0cfe148e1;1.0
;01d2da85905c9d678c37775da9e00b3fd77449a9;1.0
;01d5d0e53e62909df25854c1baabeb7c4f17bc1a;11.0
;01d795fa000e0cb2076288ec35907885fa7b6e4a;1.0
;01d96c16a2caf720617b266ae5d053243cef0920;6.0
;01da4494c28d8e8ad90bfaa172115bc528039716;7.0
;01db6351afacba32ef888631c9289b39a3d82f7a;10.0
;01dbc171a1fc932b53fb5d4c3e590a3710813ece;9.0
;01e09790db5a3d3fce98f792dc09fea86d60b0d2;12.0
;01e256995d2fbfe969a378906bffe97695f796e6;3.0
;01e46d764e6f8ea0e2535cffc04fd7efe16b02bb;1.0
;01e655d0068622cf44d3fb24c9d17a8485113bf3;22.0
;01e8cccc552ecbe29161abf7968585532f49cf78;1.0
;01ebc6665ec3dc90d15a36bb009c1f1741a39a35;1.0
